#http://www.krone.at/1743023, accessed Jul-20-2018, 1:40PM CT
# pos, neg
pos, neg
4, 0
28, 0
22, 0
23,1
14,1
1, 0
246, 164
119, 96
151, 168
27, 70
35, 70
156, 223
535, 603
211, 252
257, 312
315, 352
763, 345
370, 407
479, 546
331, 390
340, 418
421, 479
95, 117
191, 276
238, 279
305, 337
114, 146
44, 133
144, 184
112, 154
117, 148
129, 146
99, 125
164, 191
174, 199
458, 521
160, 180
235, 288
240, 271
102, 123
97, 124
136, 217
343, 109
142, 168
83, 122
189, 224
156, 195
138, 166
229, 256
293, 340
282, 355
172, 201
158, 206
162, 199
146, 185
156, 188
183, 239
242, 280
113, 159
174, 192
149, 163
49, 98
92, 108
140, 245
75, 105
120, 162
250, 348
229, 326
207, 247
200, 233
316, 385
421, 469
231, 304
347, 459
319, 395
409, 477
192, 215
414, 510
525, 627
389, 468
263, 350
179, 196
270, 328
303, 356
216, 268
322, 361
189, 259
226, 267
282, 332
178, 241
334, 398
262, 331
172, 248
261, 316
149, 209
275, 336
297, 351
317, 424
277, 323
253, 395
127, 179
258, 310
263, 4
246, 314
261, 277
194, 251
270, 376
322, 388
555, 653
382, 464
429, 570
477, 529
367, 426
273, 417
272, 384
422, 355
431, 527
272, 320
286, 368
305, 342
401, 509
325, 383
342, 480
321, 359
336, 406
345, 384
397, 459
264, 292
534, 653
247, 314
506, 394
443, 572
351, 406
572, 650
696, 770
550, 649
612, 711
476, 594
412, 526
670, 771
598, 668
429, 510
518, 464
481, 232
459, 190
380, 191
362, 98
531, 135
726, 11
479, 4
381, 6
12, 212
409, 3
308, 6
386, 3
393, 2
542, 4
308, 6
386, 3
393, 2
542, 4
610, 9
485, 2
484, 2
333, 1
582, 4
878, 9
736, 6
581, 7
1144, 8
905, 10
1062, 11
719, 4
825, 6
1153, 9
1222, 10


