commentID,pos,neg
1424345,62,68
1424349,148,137
1424355,170,142
1424374,43,44
1424375,20,14
1424379,31,29
1424384,25,14
1424406,19,9
1424409,39,31
1424410,43,33
1424295,83,0
1424297,69,64
1424298,45,52
1424302,107,59
1424305,115,121
1424309,103,114
1424318,123,121
1424319,126,124
1424345,60,68
1424349,144,130
1424200,173,191
1424204,85,110
1424222,136,155
1424229,307,324
1424231,222,245
1424234,146,162
1424238,327,360
1424250,32,25
1424253,220,241
1424261,219,242
1424189,331,256
1424190,246,241
1424191,166,182
1424192,180,193
1424196,117,136
1424200,174,191
1424204,85,110
1424222,136,155
1424229,307,326
1424231,222,245
1424097,97,6
1424098,86,101
1424100,61,68
1424108,110,124
1424109,18,26
1424117,144,163
1424134,33,37
1424140,195,219
1424141,177,203
1424145,66,85
1424096,146,2
1424097,97,6
1424098,86,101
1424100,61,68
1424108,110,124
1424109,18,26
1424117,144,163
1424134,33,37
1424140,195,219
1424141,177,203
1424028,26,29
1424052,247,293
1424054,432,481
1424063,501,558
1424069,404,452
1424075,123,140
1424076,168,186
1424082,398,438
1424084,149,168
1424085,152,174
1423990,141,158
1424003,278,311
1424011,448,501
1424013,434,485
1424017,378,418
1424025,351,388
1424026,310,346
1424028,26,29
1424052,247,293
1424054,432,481
1423907,151,172
1423917,221,249
1423924,271,302
1423930,286,319
1423934,292,323
1423941,87,99
1423944,74,84
1423945,128,142
1423947,128,140
1423948,10,1
1423838,48,1
1423840,58,0
1423844,56,2
1423845,50,1
1423846,48,2
1423852,54,1
1423862,37,1
1423865,50,1
1423867,44,2
1423876,58,2
1423825,453,493
1423838,48,1
1423840,58,0
1423844,56,2
1423845,50,1
1423846,48,2
1423852,54,1
1423862,37,1
1423865,50,1
1423867,44,2
1423770,92,4
1423772,145,5
1423773,111,2
1423782,197,229
1423786,44,71
1423787,110,122
1423788,267,299
1423795,260,290
1423796,293,326
1423797,282,316
1423756,310,343
1423761,95,2
1423765,99,1
1423766,141,0
1423768,10,84
1423770,92,4
1423772,145,5
1423773,111,2
1423782,197,229
1423786,44,71
1423632,171,191
1423636,182,218
1423639,144,175
1423642,896,989
1423653,151,173
1423656,134,148
1423660,184,205
1423663,158,178
1423668,273,303
1423672,190,213
1423636,182,218
1423639,144,175
1423642,896,991
1423653,151,173
1423656,134,148
1423660,184,205
1423663,158,178
1423668,273,303
1423672,190,213
1423683,210,237
1423560,319,350
1423563,117,100
1423572,170,197
1423584,162,184
1423591,234,265
1423604,207,229
1423611,139,157
1423617,187,213
1423618,263,218
1423632,171,191
1423395,143,165
1423413,74,0
1423418,103,82
1423428,107,3
1423429,89,1
1423441,104,118
1423444,102,114
1423448,142,172
1423457,166,186
1423460,157,173
1423448,142,172
1423457,166,186
1423460,157,173
1423464,165,182
1423465,38,44
1423472,957,1063
1423477,125,144
1423488,156,183
1423493,153,171
1423497,239,264
1423380,418,467
1423389,135,160
1423391,176,200
1423395,143,165
1423413,74,0
1423418,103,82
1423428,107,3
1423429,89,1
1423441,104,118
1423444,102,114
1423359,305,337
1423361,338,374
1423362,257,288
1423370,75,86
1423374,277,307
1423380,418,467
1423389,135,160
1423391,176,200
1423395,143,165
1423413,74,0
1423241,103,1
1423243,109,2
1423245,143,5
1423246,114,133
1423252,109,150
1423256,309,345
1423258,292,322
1423259,120,133
1423262,167,194
1423266,50,59
1423234,108,0
1423235,93,0
1423238,6,149
1423241,103,1
1423243,109,2
1423245,143,5
1423246,114,133
1423252,109,150
1423256,309,345
1423258,292,322
1423116,31,1
1423118,25,1
1423124,24,0
1423127,29,0
1423136,39,0
1423138,32,1
1423139,42,1
1423141,39,1
1423147,32,0
1423149,19,2
1423180,68,1
1423183,66,2
1423184,62,1
1423193,55,2
1423202,53,2
1423209,74,2
1423210,53,3
1423212,14,64
1423217,72,3
1423227,68,1
1423049,319,351
1423065,25,1
1423073,26,1
1423078,26,1
1423082,29,1
1423108,26,1
1423111,34,1
1423116,31,1
1423118,25,1
1423124,24,0
1422981,255,288
1422999,523,578
1423006,488,545
1423008,367,424
1423015,198,225
1423020,466,522
1423023,542,599
1423031,537,608
1423032,488,553
1423034,537,606
1422872,141,173
1422875,165,184
1422878,100,116
1422881,138,163
1422883,116,130
1422884,177,208
1422889,220,261
1422891,236,260
1422894,253,287
1422895,359,395
1422907,270,300
1422919,204,227
1422922,278,309
1422936,15,21
1422941,353,396
1422946,252,283
1422947,172,190
1422949,170,193
1422959,344,384
1422979,651,718
1422878,100,116
1422881,138,163
1422883,116,130
1422884,177,208
1422889,220,261
1422891,236,260
1422894,253,287
1422895,359,395
1422898,139,162
1422902,188,225
1422841,160,192
1422846,185,228
1422850,242,317
1422852,71,99
1422860,103,165
1422862,168,238
1422869,173,208
1422871,144,160
1422872,141,173
1422875,165,184
1422708,11,45
1422712,54,5
1422717,59,4
1422720,49,3
1422721,52,3
1422722,62,3
1422727,64,3
1422730,56,2
1422736,81,3
1422738,88,2
1422746,21,39
1422747,80,4
1422750,62,4
1422759,93,3
1422767,103,5
1422775,15,3
1422777,116,7
1422784,150,168
1422786,103,118
1422787,41,49
1422615,360,415
1422628,452,499
1422629,435,481
1422631,459,515
1422644,44,3
1422652,42,2
1422654,46,4
1422659,3,41
1422662,53,2
1422664,51,2
1422678,4,52
1422679,59,5
1422681,45,5
1422682,55,3
1422683,43,2
1422687,39,4
1422688,42,3
1422690,54,2
1422697,37,2
1422706,45,4
1422629,435,481
1422631,459,515
1422644,44,3
1422652,42,2
1422654,46,4
1422659,3,41
1422662,53,2
1422664,51,2
1422667,42,5
1422672,34,3
1422442,133,161
1422447,142,113
1422459,172,192
1422463,194,219
1422468,197,224
1422478,143,163
1422486,215,245
1422498,194,228
1422500,211,255
1422501,225,254
1422515,201,225
1422516,137,151
1422523,221,245
1422525,326,363
1422526,221,254
1422531,179,202
1422536,245,270
1422538,302,386
1422546,419,481
1422547,211,236
1422459,172,192
1422463,194,219
1422468,197,224
1422478,143,163
1422486,215,245
1422498,194,228
1422500,211,255
1422501,225,254
1422506,217,242
1422509,186,161
1422420,505,559
1422424,412,455
1422427,240,273
1422430,159,179
1422431,136,154
1422432,105,119
1422434,175,205
1422441,136,170
1422442,133,161
1422447,142,113
1422366,268,297
1422367,297,339
1422371,270,299
1422374,264,296
1422376,295,333
1422379,286,322
1422384,189,210
1422392,246,274
1422396,351,398
1422399,313,353
1422289,239,278
1422291,242,285
1422292,206,258
1422299,75,106
1422303,248,286
1422306,190,213
1422308,187,236
1422309,284,348
1422316,288,347
1422324,140,156
1422282,86,106
1422285,116,147
1422288,1117,1246
1422289,239,278
1422291,242,285
1422292,206,258
1422299,75,106
1422303,248,286
1422306,190,213
1422308,187,236
1422281,87,103
1422282,86,106
1422285,116,147
1422288,1117,1246
1422289,239,278
1422291,242,285
1422292,206,258
1422299,75,106
1422303,248,286
1422306,190,213
1422233,60,105
1422234,288,317
1422236,544,617
1422247,91,111
1422248,250,276
1422251,115,138
1422252,297,332
1422262,399,449
1422266,98,115
1422270,74,107
1422169,124,139
1422170,73,90
1422174,130,161
1422178,144,162
1422180,369,457
1422183,216,246
1422184,31,86
1422191,161,179
1422192,196,226
1422199,220,247
1422147,86,99
1422156,100,114
1422157,123,138
1422158,75,95
1422167,108,119
1422168,125,149
1422169,124,139
1422170,73,90
1422174,130,161
1422178,144,162
1422099,53,59
1422103,72,80
1422108,70,79
1422109,54,60
1422110,75,88
1422112,55,66
1422115,67,83
1422121,71,95
1422124,82,98
1422126,83,99
1422112,55,66
1422115,67,83
1422121,71,95
1422124,82,98
1422126,83,99
1422130,68,76
1422132,61,71
1422136,77,97
1422137,66,84
1422139,79,87
1422083,63,79
1422085,64,75
1422088,39,78
1422089,57,72
1422091,50,59
1422099,53,59
1422103,72,80
1422108,70,79
1422109,54,60
1422110,75,88
1422050,49,57
1422054,42,47
1422060,59,72
1422062,58,77
1422068,51,58
1422070,57,66
1422072,99,111
1422073,68,77
1422077,65,86
1422080,67,84
1422018,413,460
1422021,247,274
1422025,468,515
1422027,491,443
1422028,496,558
1422029,522,579
1422041,62,75
1422042,70,78
1422043,51,58
1422048,49,56
1421977,145,163
1421980,252,280
1421981,266,299
1421984,466,403
1421992,202,223
1421997,208,236
1421999,90,106
1422006,434,478
1422009,372,411
1422014,223,262
1421910,191,213
1421918,249,303
1421933,254,291
1421936,237,266
1421940,249,291
1421948,270,300
1421958,282,313
1421961,55,66
1421969,257,283
1421974,317,349
1421842,193,218
1421843,168,185
1421854,240,317
1421855,135,149
1421860,315,359
1421861,270,306
1421866,255,292
1421871,222,254
1421873,349,384
1421882,193,214
1421775,312,354
1421781,212,263
1421788,320,366
1421790,197,220
1421795,251,281
1421796,219,255
1421806,159,186
1421813,177,201
1421815,171,213
1421819,100,114
1421766,229,258
1421775,312,354
1421781,212,263
1421788,320,366
1421790,197,220
1421795,251,281
1421796,219,255
1421806,159,186
1421813,177,201
1421815,171,213
1421697,291,361
1421698,379,424
1421705,204,226
1421718,293,327
1421721,355,424
1421727,272,324
1421729,296,329
1421730,171,136
1421734,324,365
1421735,406,474
1421672,165,192
1421673,153,172
1421676,126,156
1421677,123,155
1421682,207,265
1421689,285,317
1421690,468,421
1421691,282,327
1421695,323,358
1421696,271,341
1421633,171,207
1421638,297,342
1421640,397,437
1421650,190,222
1421656,149,172
1421661,88,138
1421662,122,155
1421663,102,126
1421665,167,195
1421669,183,225
1421593,336,386
1421595,221,249
1421598,164,183
1421602,329,369
1421605,209,247
1421606,349,389
1421610,354,392
1421617,243,281
1421622,211,248
1421628,291,331
1421553,178,197
1421554,189,211
1421563,306,347
1421565,316,354
1421566,201,231
1421577,208,238
1421578,244,275
1421580,179,224
1421586,285,332
1421589,276,305
1421544,190,224
1421553,178,197
1421554,189,211
1421563,306,347
1421565,316,354
1421566,201,231
1421577,208,238
1421578,244,275
1421580,179,224
1421586,285,332
1421498,286,322
1421508,275,305
1421509,242,284
1421514,189,217
1421519,242,271
1421523,251,284
1421528,77,105
1421530,205,230
1421531,145,166
1421532,191,226
1421395,400,446
1421396,364,401
1421407,335,384
1421409,334,372
1421411,275,322
1421417,352,407
1421418,243,274
1421419,462,510
1421424,231,266
1421434,185,205
1421411,275,322
1421417,352,407
1421418,243,274
1421419,462,510
1421424,231,266
1421434,185,205
1421435,213,241
1421436,257,285
1421440,212,241
1421444,292,332
1421315,233,263
1421319,493,764
1421320,341,382
1421323,318,357
1421328,354,392
1421331,388,430
1421337,311,348
1421342,444,491
1421344,385,429
1421346,308,352
1421319,494,764
1421320,341,382
1421323,318,357
1421328,354,392
1421331,388,430
1421337,311,348
1421342,444,491
1421344,385,429
1421346,308,352
1421349,440,486
1421310,448,436
1421313,446,444
1421315,233,263
1421319,494,764
1421320,341,382
1421323,318,357
1421328,355,392
1421331,388,430
1421337,311,348
1421342,444,491
1421206,631,58
1421207,550,61
1421215,89,1283
1421217,547,62
1421218,592,61
1421224,625,70
1421227,568,78
1421229,444,77
1421230,531,89
1421235,564,106
