#http://www.krone.at/1707120, accessed Jul-20-2018, 2:40PM CT
# pos, neg
pos, neg
2, 1
15, 0
21, 0
17, 1
53, 0
14, 3
17, 0
40, 0
48, 5
94, 0
96, 3
92, 0
10, 83
193, 2
145, 2
148, 1
196, 3
208, 4
209, 5
170, 7
189, 5
177, 9
147, 3
149, 4
138, 3
71, 3
108, 4
79, 3
9, 116
321, 6
326, 4
247, 2
256, 1
121, 2
309, 6
345, 2
441, 2
315, 1
138, 2
95, 2
512, 4
336, 4
256, 4
343, 1
266, 2
274, 1
203, 8
110, 227
267, 2
378, 1
312, 3
95, 2
114, 0
365, 8
378, 4
377, 3
20, 307
378, 2
367, 2
470, 3
396, 1
506, 2
493, 0
1460, 14
1039, 9
1118, 14
1620, 9
1244, 9
1503, 6
1004, 7
885, 6
1148, 6
1410, 7
1066, 9
1358, 5
1216, 13
1175, 8
1117, 4
935, 6
1625, 35
816, 11
